title,author,first_name,last_name,genre,series,description,publish_date,publisher,ean_isbn,upc_isbn,pages,ddc,cover_style,sprayed_edges,special_ed,first_ed,signed,location
Five Dark Fates,Kendare Blake,Kendare,Blake,,"Three Dark Crowns, Book 4",,,,,,,,hardcover,0,0,1,1,
One Dark Throne,Kendare Blake,Kendare,Blake,,"Three Dark Crowns, Book 2",,,,,,,,hardcover,0,0,1,1,
The Oxford History of the Classical World,John Boardman,John,Boardman,Nonfiction / History / Ancient History,n/a,"The history, achievements, and enduring legacies of Greek and Roman antiquity come to life in the pages of this comprehensive and beautifully illustrated volume. Following a format similar to that of The Oxford Illustrated History of Britain, the book brings together the work of thirty outstanding authorities and organizes their contributions into three main sections. The first section covers Greece from the eighth to the fourth centuries B.C., a period unparalleled in history for its brilliance in literature, philosophy, and the visual arts. The second section deals with the Hellinization of the Middle East by the monarchies established in the areas conquered by Alexander the Great, the growth of Rome, and the impact of the two cultures on one another. The third section covers the foundation of the Roman Empire by Augustus and its consolidation in the first two centuries A.D. A short concluding essay discusses certain aspects of the later Empire and its influence on Western civilization, notably through the adoption of Christianity. Within each section, chapters dealing with political and social history alternate with chapters on literature, philosophy, and the arts. Maps and chronological charts--not to mention more than 250 illustrations, including sixteen in color--enrich the basic text, along with bibliographies and a full index. About the Editors: John Boardman is Lincoln Professor of Classical Archaeology at the University of Oxford. Jasper Griffin and Oswyn Murray are both Fellows Balliol College, Oxford.",1986-07-17,"Oxford University Press, USA",9780198721123,198721129,882,938,hardcover,0,1,1,0,
Trans-Sister Radio,Chris Bohjalian,Chris,Bohjalian,,,"With Trans-Sister Radio, Chris Bohjalian, author of the bestseller Midwives, again confronts his very human characters with issues larger than themselves, here tackling the explosive issue of gender.When Allison Banks develops a crush on Dana Stevens, she knows that he will give her what she needs most: attention, gentleness, kindness, passion. Her daughter, Carly, enthusiastically witnesses the change in her mother.  But then a few months into their relationship, Dana tells Allison his secret: he has always been certain that he is a woman born into the wrong skin, and soon he will have a sex-change operation. Allison, overwhelmed by the depth of her passion, and finds herself unable to leave Dana. By deciding to stay, she finds she must confront questions most people never even consider. Not only will her own life and Carly&rsquo;s be irrevocably changed, she will have to contend with the outrage of a small Vermont community and come to terms with her lover&rsquo;s new body&ndash;hoping against hope that her love will transcend the physical.",2001-08-14,Vintage,9780375705175,375705171,368,,paperback,0,0,0,0,
Lore,Alexandra Bracken,Alexandra,Bracken,Fantasy / Mythology / YA,n/a,"From the #1 New York Times best-selling author of The Darkest Minds comes a sweepingly ambitious, high-octane tale of power, destiny, love and redemption.
Every seven years, the Agon begins. As punishment for a past rebellion, nine Greek gods are forced to walk the earth as mortals, hunted by the descendants of ancient bloodlines, all eager to kill a god and seize their divine power and immortality.
Long ago, Lore Perseous fled that brutal world in the wake of her family's sadistic murder by a rival line, turning her back on the hunt's promises of eternal glory. For years she's pushed away any thought of revenge against the man--now a god--responsible for their deaths.
Yet as the next hunt dawns over New York City, two participants seek out her help: Castor, a childhood friend of Lore believed long dead, and a gravely wounded Athena, among the last of the original gods.
The goddess offers an alliance against their mutual enemy and, at last, a way for Lore to leave the Agon behind forever. But Lore's decision to bind her fate to Athena's and rejoin the hunt will come at a deadly cost--and still may not be enough to stop the rise of a new god with the power to bring humanity to its knees.",2022-01-04,Disney Hyperion,9781484799925,1484799925,480,FIC BRA,paperback,0,0,0,0,
Delicious Disney Sweet Treats,Pam Brandon,Pam,Brandon,,,"Treat yourself to some dessert! A Disney vacation provides a great opportunity to indulge in delectable desserts. Chocolate lovers can revel in the Chocolate Mud Pie o Rama from Flo's V8 Cafe at Disneys California Adventure, and fruit lovers can delight in the Strawberry Shortcake from Narcoossee's at Disneys Grand Floridian Resort at Disney World. With Delicious Disney Sweet Treats. dessert devotees can take a mini vacation whenever the mood strikes them by recreating their favorite sweet recipes from the Disney parks and resorts right in their own kitchens. All forty recipes contained in this book have been tested by home chefs to ensure that the instructions are easy to follow, and every single recipe features a photograph of the finished product. Treat yourself to sweet Disney magic at home! 120 pages",2016-08-01,disney editions,9781484732908,1484732901,120,,hardcover,0,0,0,0,
Hook,Terry Brooks,Terry,Brooks,,,"Continues the life story of Peter Pan, who decides to grow up and lead a relatively uneventful family life until Captain Hook kidnaps his children from the nursery",1991-12-17,Ballantine Books,9780449907078,449907074,275,,hardcover,0,0,1,0,
"The South American Cook Book, Including Central America, Mexico, and the West Indies","Cora Brown, Bob Brown, Rose Brown",Cora,Brown,,,"The cream of South American and Latin American dishes, from the Rio Grande to Tierra del Fuego, make this book an introduction to zestful dining. Cora, Rose, and Bob Brown have spent years in Central and South America, Mexico, and the Caribbean learning the native cooking; they have absorbed lore about the strange roots and vegetables which flavor some of the dishes; and particularly they have learned how to substitute traditional garden vegetables for the exotic tropical fruits and vegetables not available in their home country. Cora Brown, her son Robert, and her daughter-in-law Rose authored and published eleven cookbooks.",2014-09-15,"Wildside Press, LLC",9781479416240,147941624X,382,,paperback,0,0,1,0,
Alton Brown: EveryDayCook,Alton Brown,Alton,Brown,,,"My name is Alton Brown, and I wrote this book. It’s my first in a few years because I’ve been a little busy with TV stuff and interwebs stuff and live stage show stuff. Sure, I’ve been cooking, but it’s been mostly to feed myself and people in my immediate vicinity—which is really what a cook is supposed to do, right? Well, one day I was sitting around trying to organize my recipes, and I realized that I should put them into a personal collection. One thing led to another, and here’s EveryDayCook. There’s still plenty of science and hopefully some humor in here (my agent says that’s my “wheelhouse”), but unlike in my other books, a lot of attention went into the photos, which were all taken on my iPhone (take that, Instagram) and are suitable for framing. As for the recipes, which are arranged by time of day, they’re pretty darned tasty. Highlights include: • Morning: Buttermilk Lassi, Overnight Coconut Oats, Nitrous Pancakes • Coffee Break: Cold Brew Coffee, Lacquered Bacon, Seedy Date Bars • Noon: Smoky the Meat Loaf, Grilled Cheese Grilled Sandwich, “EnchiLasagna” or “Lasagnalada” • Afternoon: Green Grape Cobbler, Crispy Chickpeas, Savory Greek Yogurt Dip • Evening: Bad Day Bitter Martini, Mussels-O-Miso, Garam Masalmon Steaks • Anytime: The General’s Fried Chicken, Roasted Chile Salsa, Peach Punch Pops • Later: Cider House Fondue, Open Sesame Noodles, Chocapocalypse Cookie So let’s review: 101 recipes with mouthwatering photos, a plethora of useful insights on methods, tools, and ingredients all written by an “award-winning and influential educator and tastemaker.” That last part is from the PR office. Real people don’t talk like that.",2016-09-27,Ballantine Books,9781101885710,1101885718,256,,hardcover,0,0,1,0,
Devil in the Deep Blue Sea,Stacey Marie Brown,Sacey Marie,Brown,,,,,,,,,,hardcover,1,1,1,1,
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for Muggles and Wizards,Dinah Bucholz,Dinah,Bucholz,,,"With this cookbook, dining a la Hogwarts is as easy as Banoffi Pie. With more than 150 easy-to-make recipes, tips, and techniques, you can indulge in spellbindingly delicious meals drawn straight from the pages of your favorite Potter stories, such as: Treacle Tart, Harry's favorite dessert Molly's Meat Pies, Mrs. Weasley's classic dish Kreacher's French Onion Soup Pumpkin Pasties, a staple on the Hogwarts Express cart With a dash of magic and a drop of creativity, you'll conjure up the entrees, desserts, snacks, and drinks you need to transform ordinary Muggle meals into magical culinary masterpieces, sure to make even Mrs. Weasley proud.",2010-09-18,Adams Media,9781440503252,1440503257,256,,hardcover,0,0,0,0,
A Clockwork Orange,Anthony Burgess,Anthony,Burgess,,,"The&nbsp;only&nbsp;American edition of the cult classic novel.A vicious fifteen-year-old &quot;droog&quot; is the central character of this 1963 classic, whose stark terror was captured in Stanley Kubrick&#039;s magnificent film of the same title. In Anthony Burgess&#039;s nightmare vision of the future, where criminals take over after dark, the story is told by the central character, Alex, who talks in a brutal invented slang that brilliantly renders his and his friends&#039; social pathology. A Clockwork Orange is a frightening fable about good and evil, and the meaning of human freedom. When the state undertakes to reform Alex&mdash;to &quot;redeem&quot; him&mdash;the novel asks, &quot;At what cost?&quot; This edition includes the controversial last chapter not published in the first edition and Burgess&#039;s introduction &quot;A Clockwork Orange Resucked.&quot;",1986-01-01,W. W. Norton & Company,9780393312836,393312836,213,,paperback,0,0,0,0,
Prentice Alvin,Orson Scott Card,Orson,Card,,"The Tales of Alvin Maker, Book 3",,,,,,,,paperback,0,0,1,0,
Seventh Son,Orson Scott Card,Orson,Card,,"The Tales of Alvin Maker, Book 1",,,,,,,,paperback,0,0,0,0,
The Annotated Alice: The Definitive Edition,Lewis Carroll,Lewis,Carroll,,,"The culmination of a lifetime of scholarship, The Annotated Alice is a landmark event in the rich history of Lewis Carroll and cause to celebrate the remarkable career of Martin Gardner.For over half a century, Martin Gardner has established himself as one of the world's leading authorities on Lewis Carroll. His Annotated Alice, first published in 1960, has over half a million copies in print around the world and is highly sought after by families and scholars alike for it was Gardner who first decoded the wordplay and the many mathematical riddles that lie embedded in Carroll's two classic stories: Alice's Adventures in Wonderland and Through the Looking Glass. Forty years after this groundbreaking publication, Norton is proud to publish the Definitive Edition of The Annotated Alice, a work that combines the notes of Gardner's 1960 edition with his 1990 update, More Annotated Alice, as well as additional new discoveries and updates drawn from Gardner's encyclopedic knowledge of the texts. Illustrated with John Tenniel's classic and beloved art along with many recently discovered Tenniel pencil sketches. The Annotated Alice is Gardner's most beautiful and enduring tribute to Carroll's masterpieces yet. The redoubtable Gardner has been called by Douglas Hofstadter &quot;one of the great intellects produced in this country in this century.&quot; With The Annotated Alice: The Definitive Edition, we have this remarkable scholar's crowning achievement. Color, two-tone, and black-and-white photos and illustrations throughout",1999-11-17,W. W. Norton &amp; Company,9780393048476,393048470,384,,hardcover,0,1,0,0,
Alice's Adventures in Wonderland and Through the Looking-Glass,Lewis Carroll,Lewis,Carroll,,,"Follow Alice down the rabbit hole to Wonderland and enjoy tea with the Mad Hatter, find your way with the Cheshire Cat, and play croquet with the Queen of Hearts. On the other side of the looking-glass, meet Tweedledee and Tweedledum, the White Queen, and a host of other characters that share a different reality. A heat-burnished, flexibound cover, small trim size, and lovely illustrations by Sir John Tenniel will make this one of your most treasured volumes in the collectible Word Cloud Classics series.",2016-04-12,Canterbury Classics,9781626866072,1626866074,272,,paperback,0,1,0,0,
Wonders of the World,Daniela Celli,Daniela,Celli,,,This atlas presents 31 extraordinary monuments from all over the world.,2020-01-01,,9788854044210,8854044210,,,hardcover,0,0,0,0,
The Girl with no Reflection,Keshe Chow,Keshe,Chow,,,,,,,,,,hardcover,1,1,1,1,
To Kill a Kingdom,Alexandra Christo,Alexandra,Christo,Fantasy / Romance / YA,"Hundred Kingdoms, Book 1","Princess Lira is siren royalty and the most lethal of them all. With the hearts of seventeen princes in her collection, she is revered across the sea. Until a twist of fate forces her to kill one of her own. To punish her daughter, the Sea Queen transforms Lira into the one thing they loathe most--a human. Robbed of her song, Lira has until the winter solstice to deliver Prince Elian's heart to the Sea Queen or remain a human forever. The ocean is the only place Prince Elian calls home, even though he is heir to the most powerful kingdom in the world. Hunting sirens is more than an unsavory hobby--it's his calling. When he rescues a drowning woman in the ocean, she's more than what she appears. She promises to help him find the key to destroying all of sirenkind for good--But can he trust her? And just how many deals will Elian have to barter to eliminate mankind's greatest enemy?",2018-03-06,Feiwel & Friends,9781250112682,1250112680,352,FIC CHR,hardcover,0,0,1,0,
Princess of Souls,Alexandra Christo,Alexandra,Christo,Fantasy / Romance / YA,"Hundred Kingdoms, Book 2","From the author of To Kill a Kingdom comes Princess of Souls, a Rapunzel-inspired YA fantasy romance about a teen witch groomed to steal souls for an immortal king and the reckless, rebellious boy to whom her fate is tied.",2022-10-11,Feiwel & Friends,9781250841742,1250841747,416,FIC CHR,hardcover,0,0,1,0,
Heartless Hunter,Kristen Ciccarelli,Kristen,Ciccarelli,Fantasy / Romance,"The Crimson Moth, Book 1","On the night Rune’s life changed forever, blood ran in the streets. Now, in the aftermath of a devastating revolution, witches have been diminished from powerful rulers to outcasts ruthlessly hunted due to their waning magic, and Rune must hide what she is.
Spending her days pretending to be nothing more than a vapid young socialite, Rune spends her nights as the Crimson Moth, a witch vigilante who rescues her kind from being purged. When a rescue goes wrong, she decides to throw the witch hunters off her scent and gain the intel she desperately needs by courting the handsome Gideon Sharpe – a notorious and unforgiving witch hunter loyal to the revolution – who she can't help but find herself falling for.
Gideon loathes the decadence and superficiality Rune represents, but when he learns the Crimson Moth has been using Rune’s merchant ships to smuggle renegade witches out of the republic, he inserts himself into her social circles by pretending to court her right back. He soon realizes that beneath her beauty and shallow façade, is someone fiercely intelligent and tender who feels like his perfect match. Except, what if she’s the very villain he’s been hunting?
Kristen Ciccarelli’s The Crimson Moth is the thrilling start to a romantic fantasy duology where the only thing more treacherous than being a witch… is falling in love.",2024-02-01,Owlcrate,,,424,FIC CIC,hardcover,1,1,1,1,
Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,David,Cordingly,Nonfiction / History / Pirates,n/a,"For this rousing, revisionist history, the former head of exhibitions at England&#039;s National Maritime Museum has combed original documents and records to produce a most authoritative and definitive account of piracy&#039;s &quot;Golden Age.&quot; As he explodes many accepted myths (i.e. &quot;walking the plank&quot; is pure fiction), Cordingly replaces them with a truth that is more complex and often bloodier. 16 pp. of photos. Maps.",1996-08-20,Random House,9780679425601,679425608,296,910.45,hardcover,0,0,0,0,
Five Broken Blades,Mai Corland,Mai,Corland,Fantasy / Romance,"The Broken Blades, Book 1","It’s the season for treason…
The king of Yusan must die.
The five most dangerous liars in the land have been mysteriously summoned to work together for a single objective: to kill the God King Joon.
He has it coming. Under his merciless immortal hand, the nobles flourish, while the poor and innocent are imprisoned, ruined…or sold.
And now each of the five blades will come for him. Each has tasted bitterness―from The hired hitman seeking atonement, a lovely assassin who seeks freedom, or even the prince banished for his cruel crimes. None can resist the sweet, icy lure of vengeance.
They can agree on murder.
They can agree on treachery.
But for these five killers―each versed in deception, lies, and betrayal―it’s not enough to forge an alliance. To survive, they’ll have to find a way to trust each other…but only one can take the crown.
Let the best liar win.",2024-05-07,Entangled: Red Tower Books,9781649376909,1649376901,512,FIC COR,hardcover,1,1,1,0,
"Wicked: The Grimmerie, a Behind-the-Scenes Look at the Hit Broadway Musical",David Cote,David,Cote,,,"Wicked is not just a musical, it is a phenomenon. Every week 15,000 people pack New York+s Gershwin Theatre to see the show. The most successful musical on Broadway in 2004, Wicked is based on the bestselling novel of the same name by Gregory Maguire. It tells the story of Elphaba, the headstrong Wicked Witch of the West, and Glinda, the good witch, growing up in the Land of Oz. The show has cast a spell on fans, many of whom return for second and third viewings. In 2005, the show begins an extensive tour across the United States and Canada, hitting major cities such as Toronto, Chicago, Los Angeles, San Francisco, Washington, D.C., and many more.This beautifully packaged, whimsical keepsake is designed to resemble the Grimmerie, an ancient book of spells that Elphaba uses in the show. Wicked: The Grimmerie offers fans a behind-the-curtains peek at the musical, profiles of the cast and creative team, and inside stories, with full-color photographs throughout. Some of the irresistible special features include an -Ozian+ glossary, spells, an illustrated family tree, and a step-by-step look at how Elphaba gets green before each show-everything fans need to relive the Broadway experience day after day.",2005-10-26,Hyperion,9781401308209,1401308201,192,,hardcover,0,1,1,0,
The Unofficial Disney Parks Cookbook,Ashley Craft,Ashley,Craft,,,"Experience the magic of the Disney Parks right in your kitchen with these 100, easy and delicious recipes inspired by Walt Disney World! Stroll right down the middle of Main Street USA, journey from Adventureland to Infinity and Beyond at Pixar Pier, and explore every avenue in between to taste the flavors of the Disney Parks...all without leaving your kitchen. With The Unofficial Disney Parks Cookbook you can bring the magic of Disneyland and Walt Disney World snacks and treats right to your home. Recreate favorites like the classic Dole Whip and Mickey Pretzels to new favorites like blue milk from Star Wars land and Jack Jack's Cookie Num Nums from Pixar Pier. These 100 recipes inspired by iconic yummies are perfect whether you are a forever Disney fan or just love a good snack. Now you can feel as if you shared a snack with Mickey himself right from the comfort of your own home!",2020-11-10,Adams Media Corporation,9781507214510,1507214510,240,,hardcover,0,0,1,0,
House of Leaves,Mark Z. Danielewski,Mark,Danielewski,,,"Years ago, when House of Leaves was first being passed around, it was nothing more than a badly bundled heap of paper, parts of which would occasionally surface on the Internet. No one could have anticipated the small but devoted following this terrifying story would soon command. Starting with an odd assortment of marginalized youth -- musicians, tattoo artists, programmers, strippers, environmentalists, and adrenaline junkies -- the book eventually made its way into the hands of older generations, who not only found themselves in those strangely arranged pages but also discovered a way back into the lives of their estranged children.Now, for the first time, this astonishing novel is made available in book form, complete with the original colored words, vertical footnotes, and newly added second and third appendices.The story remains unchanged, focusing on a young family that moves into a small home on Ash Tree Lane where they discover something is terribly wrong: their house is bigger on the inside than it is on the outside.Of course, neither Pulitzer Prize-winning photojournalist Will Navidson nor his companion Karen Green was prepared to face the consequences of that impossibility, until the day their two little children wandered off and their voices eerily began to return another story -- of creature darkness, of an ever-growing abyss behind a closet door, and of that unholy growl which soon enough would tear through their walls and consume all their dreams.",2000-03-07,Pantheon,9780375703768,375703764,709,,paperback,0,0,0,0,
The Cast Iron Skillet Cookbook: A Tantalizing Collection of Over 200 Delicious Recipes for Every Kitchen,Dominique DeVito,Dominique,DeVito,,,"""The stovetop-to-oven ease of the cast-iron skillet makes it simple to create mouthwatering meals the whole family will love. With the added health benefits of increased iron intake and the absence of harmful nonstick chemicals in your pan, there's no better kitchen staple than a cast-iron skillet. Author Dominique DeVito has compiled a collection of satisfying skillet recipes for every meal, from classics like Steak au Poivre to a variety of international, vegetarian, and gluten-free dishes. Inside you'll find: -Smoked Salmon Frittata -Skillet Apple Pancake -Roasted Cauliflower Steaks -Veal Parmigiana -Seafood Paella -Chicken-Quinoa Casserole -Black Bean Burgers -Salmon Cakes -Lamb Chops with Rosemary and Lemon -Moussaka -Roasted Trout with Fennel and Onion -Sticky Buns -Polenta Cakes with Greens -Cherry Clafouti -And many more! Just like your cast-iron skillet, these new family favorites will last a lifetime!"" --Back cover.",2019-01-01,Appleseed Press,9781604641226,1604641223,253,,paperback,0,0,1,0,
The Dragon and the George,Gordon R. Dickson,Gordon,Dickson,,"The Dragon Knight, Book 1",,,,,,,,paperback,0,0,1,0,
The Dragon Knight,Gordon R. Dickson,Gordon,Dickson,,"The Dragon Knight, Book 2",,,,,,,,paperback,0,0,1,0,
Avatar the Last Airbender Cookbook,Jenny Dorsey,Jenny,Dorsey,,,"Feast on delicacies unique to the Earth Kingdom, Water Tribe, Air Nomads, and the Fire Nation with the Avatar: The Last Airbender: The Official Cookbook. From the shores of Kyoshi Island to the crowded streets of Ba Sing Se, this official cookbook collects signature dishes from all four nations, like vegetarian plates of the Air Nomads, fiery entrees from the Fire Nation, seafood from the North and South Poles, and delectable cuisine from the Earth Kingdom. Featuring enticing color photography, step-by-step instructions, and tips for adapting dishes to specific diets, this book includes sixty authentic food and beverage recipes inspired by the beloved series. Enjoy this diverse compendium of delicacies from the world of Avatar: The Last Airbender.",2021-11-23,Insight Editions,9781647223380,1647223385,128,,hardcover,0,0,0,0,
Die Physiker (English and German Edition),Friedrich Durrenmatt,Friedrich,Durrenmatt,,,Contains the complete text of a new satire written in the form of a mystery drama.,1965-12-31,Oxford University Press,9780195009088,195009088,153,,paperback,0,0,0,0,
